SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargesPerMonth,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_proba,ab_group,p_retention_sim,retained_sim
0,1,0,1,0,1,29.85,29.85,0,14.925,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7329531177986164,treatment,0.5958530805687203,1
0,0,0,2,1,1,53.85,108.15,1,36.05,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6393999969952734,control,0.49585308056872035,1
0,0,0,2,1,1,70.7,151.65,1,50.55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.836202938737355,treatment,0.5958530805687203,1
0,0,0,8,1,1,99.65,820.5,1,91.16666666666669,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.8894415580616217,treatment,0.5958530805687203,0
0,0,1,22,1,1,89.1,1949.4,0,84.75652173913043,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6303895873312915,control,0.49585308056872035,0
0,0,0,10,0,0,29.75,301.9,0,27.44545454545454,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.4325115224369793,treatment,0.5958530805687203,0
0,1,0,28,1,1,104.8,3046.05,1,105.03620689655172,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.7455502717022054,treatment,0.5958530805687203,0
0,1,0,58,1,0,100.35,5681.1,0,96.28983050847458,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.39337535280047603,treatment,0.5958530805687203,1
0,0,0,49,1,1,103.7,5036.3,1,100.726,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0.6508219891579423,control,0.49585308056872035,0
0,0,0,25,1,1,105.5,2686.05,0,103.3096153846154,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.6338527752482743,control,0.49585308056872035,1
0,0,0,21,1,1,90.05,1862.9,0,84.67727272727274,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.7341916196057733,control,0.49585308056872035,1
1,0,0,1,0,1,39.65,39.65,1,19.825,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.8557472132696873,treatment,0.5958530805687203,0
0,0,0,1,1,0,20.15,20.15,1,10.075,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.6382094350939742,treatment,0.5958530805687203,1
0,1,1,47,1,1,99.35,4749.15,1,98.940625,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.7033270580202035,treatment,0.5958530805687203,1
0,1,1,1,0,0,30.2,30.2,1,15.1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.717076792898949,control,0.49585308056872035,0
0,0,1,17,1,1,64.7,1093.1,1,60.727777777777774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.46334670755022034,control,0.49585308056872035,1
1,1,0,2,1,1,95.5,181.65,0,60.55,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.7751436716608723,treatment,0.5958530805687203,0
0,0,0,1,1,0,20.2,20.2,0,10.1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.4950359226449894,control,0.49585308056872035,0
1,0,0,1,1,0,45.25,45.25,0,22.625,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7253064532773417,treatment,0.5958530805687203,0
0,0,0,5,1,1,69.7,316.9,1,52.81666666666666,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8170669708591308,treatment,0.5958530805687203,0
0,0,0,46,1,1,74.8,3548.3,0,75.49574468085106,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.5172884960515369,treatment,0.5958530805687203,1
0,0,0,34,1,1,106.35,3549.25,1,101.40714285714286,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.7124267401407249,control,0.49585308056872035,0
0,0,0,11,1,1,97.85,1105.4,1,92.11666666666667,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0.8512190656617024,treatment,0.5958530805687203,0
0,1,0,13,1,1,76.2,981.45,0,70.10357142857143,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0.40791688288393535,treatment,0.5958530805687203,0
0,0,0,49,1,1,84.5,3906.7,0,78.134,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.7070944420662367,treatment,0.5958530805687203,1
0,0,0,2,1,0,49.25,97.0,0,32.333333333333336,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6538989697365453,control,0.49585308056872035,1
0,0,0,2,1,1,80.65,144.15,1,48.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.8564954842523838,control,0.49585308056872035,1
1,0,0,43,1,1,90.25,3838.75,0,87.24431818181819,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.6986719016334803,control,0.49585308056872035,1
0,0,0,15,1,1,99.1,1426.4,1,89.15,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.7003832585540962,control,0.49585308056872035,1
1,1,0,8,1,1,80.65,633.3,1,70.36666666666666,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7868383138974364,treatment,0.5958530805687203,0
1,0,0,18,1,1,95.45,1752.55,1,92.23947368421052,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.8242655011053909,treatment,0.5958530805687203,1
1,1,1,66,1,1,108.45,7076.35,0,105.61716417910448,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0.4752272378921504,treatment,0.5958530805687203,1
0,1,0,47,1,1,100.5,4707.1,0,98.06458333333336,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.7276561300396296,control,0.49585308056872035,1
0,0,0,60,1,1,89.9,5450.7,0,89.35573770491803,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5309966835713167,control,0.49585308056872035,0
0,0,0,9,1,0,94.4,857.25,1,85.725,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.8581079258361209,control,0.49585308056872035,1
0,0,0,3,1,1,75.3,244.1,0,61.025,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.5313676768620295,control,0.49585308056872035,0
0,0,0,10,1,1,79.85,887.35,0,80.66818181818182,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.6312824009225378,control,0.49585308056872035,1
0,0,0,1,1,0,49.05,49.05,0,24.525,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.5922546864681696,control,0.49585308056872035,0
0,0,1,3,1,1,64.5,177.4,0,44.35,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.41886559803050316,control,0.49585308056872035,0
1,0,0,56,1,0,110.5,6139.5,0,107.71052631578948,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.41656250298139064,treatment,0.5958530805687203,1
0,0,1,1,1,1,79.35,79.35,1,39.675,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.8996687172446539,control,0.49585308056872035,1
0,1,1,11,0,0,50.55,565.35,0,47.1125,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.5525745006771088,treatment,0.5958530805687203,0
0,1,0,7,1,1,75.15,496.9,1,62.1125,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7808782791746487,treatment,0.5958530805687203,1
0,0,0,42,1,1,103.8,4327.5,0,100.63953488372093,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0.5336811245926223,control,0.49585308056872035,1
0,0,0,9,1,1,99.3,918.75,0,91.875,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.8181477424117892,treatment,0.5958530805687203,0
